sample_id	pathway_id	pathway_name	annotated_pathway_ko_count	observed_kos	total_kos	completeness_pct	matched_observed_kos	matched_ko_count_sum
49A	map00300	Lysine biosynthesis	1298	26	48	54.17	26	649
49A	map01320	Sulfur cycle	1294	35	53	66.04	35	647
13A	map00280	"Valine, leucine and isoleucine degradation"	1292	47	71	66.2	47	646
13A	map05417	Lipid and atherosclerosis	1288	5	160	3.12	5	644
14A	map00290	"Valine, leucine and isoleucine biosynthesis"	1286	15	19	78.95	15	643
1A	map00750	Vitamin B6 metabolism	1284	9	26	34.62	9	642
49A	map01503	Cationic antimicrobial peptide (CAMP) resistance	1280	22	54	40.74	22	640
49A	map00562	Inositol phosphate metabolism	1280	17	79	21.52	17	640
13A	map00541	Biosynthesis of various nucleotide sugars	1272	55	135	40.74	55	636
47A	map01501	beta-Lactam resistance	1268	12	112	10.71	12	634
46A	map00450	Selenocompound metabolism	1266	21	36	58.33	21	633
49A	map03420	Nucleotide excision repair	1266	16	61	26.23	16	633
42A	map00750	Vitamin B6 metabolism	1262	9	26	34.62	9	631
3A	map04727	GABAergic synapse	1260	3	69	4.35	3	630
3A	map01503	Cationic antimicrobial peptide (CAMP) resistance	1258	19	54	35.19	19	629
47A	map00750	Vitamin B6 metabolism	1258	7	26	26.92	7	629
3A	map00730	Thiamine metabolism	1256	18	36	50	18	628
13A	map00362	Benzoate degradation	1256	52	116	44.83	52	628
1A	map04146	Peroxisome	1254	20	74	27.03	20	627
13A	map05016	Huntington disease	1254	32	229	13.97	32	627
42A	map01503	Cationic antimicrobial peptide (CAMP) resistance	1252	13	54	24.07	13	626
3A	map04724	Glutamatergic synapse	1250	2	90	2.22	2	625
46A	map05418	Fluid shear stress and atherosclerosis	1250	6	99	6.06	6	625
49A	map00061	Fatty acid biosynthesis	1250	22	40	55	22	625
13A	map01220	Degradation of aromatic compounds	1248	52	215	24.19	52	624
1A	map00999	Biosynthesis of various plant secondary metabolites	1246	4	74	5.41	4	623
47A	map00511	Other glycan degradation	1244	3	22	13.64	3	622
46A	map00562	Inositol phosphate metabolism	1242	15	79	18.99	15	621
49A	map05132	Salmonella infection	1242	10	217	4.61	10	621
3A	map04142	Lysosome biogenesis	1240	11	204	5.39	11	620
46A	map00511	Other glycan degradation	1238	6	22	27.27	6	619
46A	map04727	GABAergic synapse	1238	5	69	7.25	5	619
3A	map04910	Insulin signaling pathway	1234	8	88	9.09	8	617
13A	map00470	D-Amino acid metabolism	1234	28	55	50.91	28	617
13A	map00562	Inositol phosphate metabolism	1230	20	79	25.32	20	615
46A	map04724	Glutamatergic synapse	1228	2	90	2.22	2	614
47A	map05200	Pathways in cancer	1228	8	417	1.92	8	614
14A	map05417	Lipid and atherosclerosis	1222	6	160	3.75	6	611
3A	map00785	Lipoic acid metabolism	1220	23	31	74.19	23	610
5A	map00195	Photosynthesis	1220	33	63	52.38	33	610
49A	map02030	Bacterial chemotaxis	1218	21	26	80.77	21	609
46A	map00730	Thiamine metabolism	1216	19	36	52.78	19	608
3A	map00330	Arginine and proline metabolism	1214	45	115	39.13	45	607
14A	map00640	Propanoate metabolism	1212	54	104	51.92	54	606
47A	map03020	RNA polymerase	1212	9	66	13.64	9	606
3A	map00640	Propanoate metabolism	1210	52	104	50	52	605
47A	map00785	Lipoic acid metabolism	1206	15	31	48.39	15	603
5A	map04142	Lysosome biogenesis	1204	5	204	2.45	5	602
49A	map05022	Pathways of neurodegeneration - multiple diseases	1204	31	367	8.45	31	602
42A	map01220	Degradation of aromatic compounds	1202	41	215	19.07	41	601
3A	map00511	Other glycan degradation	1200	5	22	22.73	5	600
14A	map02025	Biofilm formation - Pseudomonas aeruginosa	1200	53	90	58.89	53	600
42A	map04714	Thermogenesis	1198	25	188	13.3	25	599
47A	map04146	Peroxisome	1196	15	74	20.27	15	598
49A	map05200	Pathways in cancer	1194	7	417	1.68	7	597
1A	map00061	Fatty acid biosynthesis	1192	21	40	52.5	21	596
5A	map00750	Vitamin B6 metabolism	1192	8	26	30.77	8	596
47A	map00330	Arginine and proline metabolism	1186	29	115	25.22	29	593
47A	map04910	Insulin signaling pathway	1186	7	88	7.95	7	593
5A	map00999	Biosynthesis of various plant secondary metabolites	1184	4	74	5.41	4	592
13A	map00460	Cyanoamino acid metabolism	1184	9	37	24.32	9	592
47A	map04931	Insulin resistance	1182	5	74	6.76	5	591
1A	map05016	Huntington disease	1180	15	229	6.55	15	590
5A	map01220	Degradation of aromatic compounds	1180	36	215	16.74	36	590
5A	map05200	Pathways in cancer	1180	8	417	1.92	8	590
5A	map05016	Huntington disease	1174	19	229	8.3	19	587
1A	map01320	Sulfur cycle	1172	36	53	67.92	36	586
5A	map00511	Other glycan degradation	1170	4	22	18.18	4	585
14A	map00540	Lipopolysaccharide biosynthesis	1170	21	50	42	21	585
14A	map00470	D-Amino acid metabolism	1168	29	55	52.73	29	584
49A	map04910	Insulin signaling pathway	1164	9	88	10.23	9	582
49A	map01502	Vancomycin resistance	1162	10	22	45.45	10	581
5A	map01503	Cationic antimicrobial peptide (CAMP) resistance	1160	14	54	25.93	14	580
13A	map00061	Fatty acid biosynthesis	1160	22	40	55	22	580
14A	map00541	Biosynthesis of various nucleotide sugars	1158	52	135	38.52	52	579
49A	map00280	"Valine, leucine and isoleucine degradation"	1158	40	71	56.34	40	579
13A	map05418	Fluid shear stress and atherosclerosis	1156	5	99	5.05	5	578
1A	map03020	RNA polymerase	1152	7	66	10.61	7	576
42A	map04066	HIF-1 signaling pathway	1148	9	77	11.69	9	574
3A	map00562	Inositol phosphate metabolism	1146	18	79	22.78	18	573
46A	map00785	Lipoic acid metabolism	1146	22	31	70.97	22	573
1A	map00300	Lysine biosynthesis	1144	24	48	50	24	572
47A	map04066	HIF-1 signaling pathway	1144	10	77	12.99	10	572
49A	map05014	Amyotrophic lateral sclerosis	1142	27	280	9.64	27	571
46A	map05016	Huntington disease	1140	49	229	21.4	49	570
1A	map01220	Degradation of aromatic compounds	1136	39	215	18.14	39	568
42A	map00195	Photosynthesis	1136	28	63	44.44	28	568
47A	map05132	Salmonella infection	1132	8	217	3.69	8	566
14A	map04714	Thermogenesis	1126	41	188	21.81	41	563
42A	map00785	Lipoic acid metabolism	1126	21	31	67.74	21	563
42A	map04146	Peroxisome	1126	20	74	27.03	20	563
49A	map00999	Biosynthesis of various plant secondary metabolites	1120	4	74	5.41	4	560
1A	map05200	Pathways in cancer	1118	8	417	1.92	8	559
5A	map04066	HIF-1 signaling pathway	1118	11	77	14.29	11	559
14A	map05418	Fluid shear stress and atherosclerosis	1118	7	99	7.07	7	559
14A	map00195	Photosynthesis	1116	31	63	49.21	31	558
42A	map05207	Chemical carcinogenesis - receptor activation	1112	2	127	1.57	2	556
1A	map04066	HIF-1 signaling pathway	1110	10	77	12.99	10	555
42A	map00999	Biosynthesis of various plant secondary metabolites	1110	3	74	4.05	3	555
3A	map00750	Vitamin B6 metabolism	1108	9	26	34.62	9	554
42A	map00362	Benzoate degradation	1108	48	116	41.38	48	554
49A	map04066	HIF-1 signaling pathway	1108	10	77	12.99	10	554
46A	map05132	Salmonella infection	1106	14	217	6.45	14	553
49A	map01220	Degradation of aromatic compounds	1106	51	215	23.72	51	553
13A	map04714	Thermogenesis	1104	36	188	19.15	36	552
13A	map05230	Central carbon metabolism in cancer	1104	9	49	18.37	9	552
13A	map04922	Glucagon signaling pathway	1104	9	57	15.79	9	552
47A	map00362	Benzoate degradation	1104	28	116	24.14	28	552
42A	map05132	Salmonella infection	1100	7	217	3.23	7	550
14A	map04922	Glucagon signaling pathway	1098	10	57	17.54	10	549
46A	map01220	Degradation of aromatic compounds	1098	35	215	16.28	35	549
3A	map01320	Sulfur cycle	1096	33	53	62.26	33	548
49A	map00360	Phenylalanine metabolism	1092	33	75	44	33	546
5A	map04931	Insulin resistance	1090	4	74	5.41	4	545
13A	map04724	Glutamatergic synapse	1090	3	90	3.33	3	545
49A	map05152	Tuberculosis	1090	9	131	6.87	9	545
1A	map05132	Salmonella infection	1086	7	217	3.23	7	543
3A	map00061	Fatty acid biosynthesis	1086	19	40	47.5	19	543
5A	map03020	RNA polymerase	1086	10	66	15.15	10	543
49A	map00410	beta-Alanine metabolism	1086	24	46	52.17	24	543
13A	map04727	GABAergic synapse	1084	2	69	2.9	2	542
46A	map00330	Arginine and proline metabolism	1084	49	115	42.61	49	542
13A	map00785	Lipoic acid metabolism	1082	21	31	67.74	21	541
14A	map00460	Cyanoamino acid metabolism	1082	9	37	24.32	9	541
1A	map00280	"Valine, leucine and isoleucine degradation"	1080	39	71	54.93	39	540
14A	map00562	Inositol phosphate metabolism	1080	18	79	22.78	18	540
1A	map01501	beta-Lactam resistance	1078	18	112	16.07	18	539
46A	map00999	Biosynthesis of various plant secondary metabolites	1078	3	74	4.05	3	539
47A	map05152	Tuberculosis	1078	9	131	6.87	9	539
46A	map00750	Vitamin B6 metabolism	1076	9	26	34.62	9	538
49A	map00660	C5-Branched dibasic acid metabolism	1076	16	29	55.17	16	538
1A	map04714	Thermogenesis	1074	19	188	10.11	19	537
13A	map00540	Lipopolysaccharide biosynthesis	1074	20	50	40	20	537
49A	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	1074	40	64	62.5	40	537
1A	map00660	C5-Branched dibasic acid metabolism	1072	17	29	58.62	17	536
13A	map04146	Peroxisome	1072	20	74	27.03	20	536
14A	map05230	Central carbon metabolism in cancer	1072	10	49	20.41	10	536
42A	map05152	Tuberculosis	1072	8	131	6.11	8	536
42A	map03020	RNA polymerase	1068	11	66	16.67	11	534
13A	map00195	Photosynthesis	1066	30	63	47.62	30	533
42A	map05022	Pathways of neurodegeneration - multiple diseases	1066	23	367	6.27	23	533
49A	map00073	"Cutin, suberine and wax biosynthesis"	1066	4	21	19.05	4	533
42A	map00541	Biosynthesis of various nucleotide sugars	1064	41	135	30.37	41	532
47A	map00730	Thiamine metabolism	1064	19	36	52.78	19	532
42A	map00640	Propanoate metabolism	1062	44	104	42.31	44	531
46A	map04146	Peroxisome	1060	20	74	27.03	20	530
49A	map03020	RNA polymerase	1060	10	66	15.15	10	530
46A	map00640	Propanoate metabolism	1058	49	104	47.12	49	529
3A	map00052	Galactose metabolism	1054	21	85	24.71	21	527
1A	map00362	Benzoate degradation	1052	48	116	41.38	48	526
5A	map00730	Thiamine metabolism	1052	19	36	52.78	19	526
13A	map00730	Thiamine metabolism	1052	22	36	61.11	22	526
14A	map01220	Degradation of aromatic compounds	1052	48	215	22.33	48	526
5A	map05132	Salmonella infection	1048	9	217	4.15	9	524
13A	map00360	Phenylalanine metabolism	1048	35	75	46.67	35	524
14A	map05022	Pathways of neurodegeneration - multiple diseases	1048	46	367	12.53	46	524
46A	map00052	Galactose metabolism	1048	22	85	25.88	22	524
49A	map00362	Benzoate degradation	1048	55	116	47.41	55	524
1A	map00073	"Cutin, suberine and wax biosynthesis"	1040	5	21	23.81	5	520
5A	map01501	beta-Lactam resistance	1038	16	112	14.29	16	519
46A	map03020	RNA polymerase	1038	18	66	27.27	18	519
5A	map00785	Lipoic acid metabolism	1034	17	31	54.84	17	517
14A	map00730	Thiamine metabolism	1034	23	36	63.89	23	517
14A	map00061	Fatty acid biosynthesis	1034	22	40	55	22	517
46A	map05200	Pathways in cancer	1034	8	417	1.92	8	517
42A	map00730	Thiamine metabolism	1032	18	36	50	18	516
46A	map01320	Sulfur cycle	1032	32	53	60.38	32	516
46A	map00061	Fatty acid biosynthesis	1032	20	40	50	20	516
3A	map04146	Peroxisome	1030	19	74	25.68	19	515
3A	map01220	Degradation of aromatic compounds	1030	38	215	17.67	38	515
14A	map00362	Benzoate degradation	1030	50	116	43.1	50	515
14A	map05014	Amyotrophic lateral sclerosis	1030	46	280	16.43	46	515
42A	map01320	Sulfur cycle	1028	31	53	58.49	31	514
5A	map04146	Peroxisome	1026	16	74	21.62	16	513
1A	map00340	Histidine metabolism	1022	28	48	58.33	28	511
14A	map00280	"Valine, leucine and isoleucine degradation"	1022	41	71	57.75	41	511
42A	map05014	Amyotrophic lateral sclerosis	1022	21	280	7.5	21	511
1A	map00410	beta-Alanine metabolism	1020	24	46	52.17	24	510
1A	map01502	Vancomycin resistance	1020	7	22	31.82	7	510
5A	map00330	Arginine and proline metabolism	1020	35	115	30.43	35	510
46A	map04066	HIF-1 signaling pathway	1020	10	77	12.99	10	510
49A	map05012	Parkinson disease	1018	28	208	13.46	28	509
3A	map04066	HIF-1 signaling pathway	1016	10	77	12.99	10	508
13A	map00750	Vitamin B6 metabolism	1016	13	26	50	13	508
1A	map05022	Pathways of neurodegeneration - multiple diseases	1014	17	367	4.63	17	507
3A	map05200	Pathways in cancer	1014	7	417	1.68	7	507
42A	map04931	Insulin resistance	1014	5	74	6.76	5	507
5A	map04910	Insulin signaling pathway	1010	7	88	7.95	7	505
47A	map00410	beta-Alanine metabolism	1010	15	46	32.61	15	505
47A	map05022	Pathways of neurodegeneration - multiple diseases	1008	18	367	4.9	18	504
14A	map05200	Pathways in cancer	1006	10	417	2.4	10	503
49A	map04142	Lysosome biogenesis	1006	12	204	5.88	12	503
1A	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	1004	37	64	57.81	37	502
1A	map00040	Pentose and glucuronate interconversions	1002	27	96	28.12	27	501
13A	map00300	Lysine biosynthesis	1000	24	48	50	24	500
49A	map04621	NOD-like receptor signaling pathway	1000	4	145	2.76	4	500
3A	map00999	Biosynthesis of various plant secondary metabolites	998	3	74	4.05	3	499
47A	map05014	Amyotrophic lateral sclerosis	994	17	280	6.07	17	497
3A	map05016	Huntington disease	990	21	229	9.17	21	495
13A	map03420	Nucleotide excision repair	988	13	61	21.31	13	494
47A	map00552	Teichoic acid biosynthesis	988	5	41	12.2	5	494
49A	map05415	Diabetic cardiomyopathy	988	24	160	15	24	494
1A	map05207	Chemical carcinogenesis - receptor activation	986	3	127	2.36	3	493
46A	map05022	Pathways of neurodegeneration - multiple diseases	984	51	367	13.9	51	492
1A	map03420	Nucleotide excision repair	982	12	61	19.67	12	491
13A	map00500	Starch and sucrose metabolism	982	41	109	37.61	41	491
42A	map00061	Fatty acid biosynthesis	982	18	40	45	18	491
13A	map05012	Parkinson disease	980	32	208	15.38	32	490
5A	map05207	Chemical carcinogenesis - receptor activation	978	2	127	1.57	2	489
13A	map05203	Viral carcinogenesis	976	6	174	3.45	6	488
14A	map05012	Parkinson disease	976	41	208	19.71	41	488
1A	map05014	Amyotrophic lateral sclerosis	974	14	280	5	14	487
47A	map05207	Chemical carcinogenesis - receptor activation	974	2	127	1.57	2	487
49A	map00380	Tryptophan metabolism	974	28	82	34.15	28	487
13A	map05200	Pathways in cancer	972	7	417	1.68	7	486
3A	map00362	Benzoate degradation	970	45	116	38.79	45	485
14A	map04146	Peroxisome	968	24	74	32.43	24	484
3A	map05132	Salmonella infection	966	7	217	3.23	7	483
13A	map04066	HIF-1 signaling pathway	964	10	77	12.99	10	482
47A	map00052	Galactose metabolism	964	17	85	20	17	482
46A	map00362	Benzoate degradation	960	43	116	37.07	43	480
47A	map00660	C5-Branched dibasic acid metabolism	960	15	29	51.72	15	480
49A	map05207	Chemical carcinogenesis - receptor activation	958	2	127	1.57	2	479
14A	map00750	Vitamin B6 metabolism	956	14	26	53.85	14	478
3A	map03020	RNA polymerase	954	11	66	16.67	11	477
14A	map05415	Diabetic cardiomyopathy	954	39	160	24.38	39	477
13A	map01503	Cationic antimicrobial peptide (CAMP) resistance	952	21	54	38.89	21	476
47A	map05134	Legionellosis	952	5	69	7.25	5	476
5A	map05022	Pathways of neurodegeneration - multiple diseases	950	17	367	4.63	17	475
1A	map05152	Tuberculosis	946	8	131	6.11	8	473
1A	map04621	NOD-like receptor signaling pathway	946	4	145	2.76	4	473
13A	map00380	Tryptophan metabolism	946	29	82	35.37	29	473
14A	map01503	Cationic antimicrobial peptide (CAMP) resistance	946	21	54	38.89	21	473
42A	map05012	Parkinson disease	946	21	208	10.1	21	473
5A	map04714	Thermogenesis	944	20	188	10.64	20	472
14A	map04727	GABAergic synapse	944	3	69	4.35	3	472
14A	map04724	Glutamatergic synapse	944	3	90	3.33	3	472
47A	map04714	Thermogenesis	944	20	188	10.64	20	472
13A	map00660	C5-Branched dibasic acid metabolism	942	18	29	62.07	18	471
46A	map05014	Amyotrophic lateral sclerosis	940	44	280	15.71	44	470
5A	map05014	Amyotrophic lateral sclerosis	936	17	280	6.07	17	468
13A	map05022	Pathways of neurodegeneration - multiple diseases	936	34	367	9.26	34	468
46A	map04621	NOD-like receptor signaling pathway	936	9	145	6.21	9	468
3A	map03420	Nucleotide excision repair	934	17	61	27.87	17	467
13A	map05152	Tuberculosis	934	8	131	6.11	8	467
3A	map00300	Lysine biosynthesis	932	25	48	52.08	25	466
5A	map00362	Benzoate degradation	932	37	116	31.9	37	466
14A	map00785	Lipoic acid metabolism	932	20	31	64.52	20	466
42A	map05415	Diabetic cardiomyopathy	932	22	160	13.75	22	466
46A	map00660	C5-Branched dibasic acid metabolism	930	16	29	55.17	16	465
46A	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	930	34	64	53.12	34	465
46A	map00300	Lysine biosynthesis	930	22	48	45.83	22	465
13A	map00340	Histidine metabolism	928	27	48	56.25	27	464
3A	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	924	35	64	54.69	35	462
46A	map04714	Thermogenesis	924	38	188	20.21	38	462
42A	map05134	Legionellosis	922	7	69	10.14	7	461
5A	map00541	Biosynthesis of various nucleotide sugars	916	37	135	27.41	37	458
42A	map04910	Insulin signaling pathway	916	9	88	10.23	9	458
5A	map05152	Tuberculosis	914	6	131	4.58	6	457
42A	map04142	Lysosome biogenesis	914	10	204	4.9	10	457
14A	map05203	Viral carcinogenesis	910	8	174	4.6	8	455
13A	map05014	Amyotrophic lateral sclerosis	908	32	280	11.43	32	454
42A	map01501	beta-Lactam resistance	908	19	112	16.96	19	454
49A	map00040	Pentose and glucuronate interconversions	908	30	96	31.25	30	454
3A	map00340	Histidine metabolism	906	25	48	52.08	25	453
3A	map04714	Thermogenesis	906	21	188	11.17	21	453
49A	map00780	Biotin metabolism	906	14	24	58.33	14	453
3A	map00660	C5-Branched dibasic acid metabolism	904	16	29	55.17	16	452
13A	map05415	Diabetic cardiomyopathy	904	32	160	20	32	452
14A	map03420	Nucleotide excision repair	904	16	61	26.23	16	452
47A	map04621	NOD-like receptor signaling pathway	904	4	145	2.76	4	452
5A	map00410	beta-Alanine metabolism	902	19	46	41.3	19	451
14A	map04066	HIF-1 signaling pathway	900	12	77	15.58	12	450
42A	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	900	30	64	46.88	30	450
47A	map04213	Longevity regulating pathway - multiple species	900	5	58	8.62	5	450
3A	map05207	Chemical carcinogenesis - receptor activation	898	2	127	1.57	2	449
47A	map00998	Biosynthesis of various antibiotics	898	3	74	4.05	3	449
46A	map05152	Tuberculosis	896	9	131	6.87	9	448
46A	map00340	Histidine metabolism	894	26	48	54.17	26	447
47A	map00061	Fatty acid biosynthesis	894	17	40	42.5	17	447
14A	map00360	Phenylalanine metabolism	892	34	75	45.33	34	446
42A	map00410	beta-Alanine metabolism	892	21	46	45.65	21	446
47A	map00541	Biosynthesis of various nucleotide sugars	892	32	135	23.7	32	446
49A	map04980	Cobalamin transport and metabolism	888	5	17	29.41	5	444
49A	map05134	Legionellosis	888	6	69	8.7	6	444
3A	map01501	beta-Lactam resistance	886	18	112	16.07	18	443
5A	map04141	Protein processing in endoplasmic reticulum	886	7	146	4.79	7	443
47A	map04141	Protein processing in endoplasmic reticulum	886	7	146	4.79	7	443
13A	map05134	Legionellosis	884	8	69	11.59	8	442
14A	map00300	Lysine biosynthesis	884	25	48	52.08	25	442
46A	map05207	Chemical carcinogenesis - receptor activation	884	4	127	3.15	4	442
49A	map00511	Other glycan degradation	882	8	22	36.36	8	441
42A	map00660	C5-Branched dibasic acid metabolism	880	16	29	55.17	16	440
5A	map00052	Galactose metabolism	878	14	85	16.47	14	439
49A	map01501	beta-Lactam resistance	878	22	112	19.64	22	439
5A	map00061	Fatty acid biosynthesis	876	17	40	42.5	17	438
13A	map00780	Biotin metabolism	876	14	24	58.33	14	438
14A	map00660	C5-Branched dibasic acid metabolism	874	19	29	65.52	19	437
14A	map00500	Starch and sucrose metabolism	874	40	109	36.7	40	437
1A	map00780	Biotin metabolism	872	13	24	54.17	13	436
3A	map00410	beta-Alanine metabolism	872	20	46	43.48	20	436
14A	map05152	Tuberculosis	872	7	131	5.34	7	436
14A	map00380	Tryptophan metabolism	870	29	82	35.37	29	435
3A	map00780	Biotin metabolism	868	13	24	54.17	13	434
3A	map01502	Vancomycin resistance	866	9	22	40.91	9	433
42A	map01502	Vancomycin resistance	866	8	22	36.36	8	433
47A	map04068	FoxO signaling pathway	866	3	103	2.91	3	433
49A	map04626	Plant-pathogen interaction	866	10	87	11.49	10	433
3A	map05022	Pathways of neurodegeneration - multiple diseases	864	23	367	6.27	23	432
13A	map05165	Human papillomavirus infection	864	4	231	1.73	4	432
49A	map00552	Teichoic acid biosynthesis	864	9	41	21.95	9	432
13A	map05132	Salmonella infection	856	8	217	3.69	8	428
47A	map00640	Propanoate metabolism	856	39	104	37.5	39	428
5A	map00660	C5-Branched dibasic acid metabolism	852	15	29	51.72	15	426
46A	map03420	Nucleotide excision repair	852	31	61	50.82	31	426
3A	map04621	NOD-like receptor signaling pathway	848	4	145	2.76	4	424
14A	map05165	Human papillomavirus infection	848	5	231	2.16	5	424
42A	map00300	Lysine biosynthesis	848	22	48	45.83	22	424
5A	map04621	NOD-like receptor signaling pathway	846	4	145	2.76	4	423
42A	map04621	NOD-like receptor signaling pathway	846	5	145	3.45	5	423
3A	map00040	Pentose and glucuronate interconversions	844	24	96	25	24	422
42A	map04141	Protein processing in endoplasmic reticulum	842	6	146	4.11	6	421
42A	map04980	Cobalamin transport and metabolism	840	4	17	23.53	4	420
42A	map00511	Other glycan degradation	840	5	22	22.73	5	420
46A	map01502	Vancomycin resistance	840	8	22	36.36	8	420
47A	map05012	Parkinson disease	834	17	208	8.17	17	417
5A	map00998	Biosynthesis of various antibiotics	832	5	74	6.76	5	416
1A	map05415	Diabetic cardiomyopathy	830	17	160	10.62	17	415
3A	map05014	Amyotrophic lateral sclerosis	830	19	280	6.79	19	415
5A	map00640	Propanoate metabolism	830	43	104	41.35	43	415
13A	map01501	beta-Lactam resistance	828	19	112	16.96	19	414
46A	map04141	Protein processing in endoplasmic reticulum	828	14	146	9.59	14	414
42A	map01524	Platinum drug resistance	826	4	46	8.7	4	413
47A	map04980	Cobalamin transport and metabolism	822	4	17	23.53	4	411
42A	map00552	Teichoic acid biosynthesis	820	5	41	12.2	5	410
46A	map04626	Plant-pathogen interaction	816	8	87	9.2	8	408
49A	map04213	Longevity regulating pathway - multiple species	816	6	58	10.34	6	408
3A	map00280	"Valine, leucine and isoleucine degradation"	814	36	71	50.7	36	407
46A	map00780	Biotin metabolism	814	15	24	62.5	15	407
47A	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	814	26	64	40.62	26	407
14A	map00340	Histidine metabolism	812	28	48	58.33	28	406
42A	map00340	Histidine metabolism	810	24	48	50	24	405
5A	map00552	Teichoic acid biosynthesis	808	6	41	14.63	6	404
1A	map04980	Cobalamin transport and metabolism	806	4	17	23.53	4	403
1A	map00998	Biosynthesis of various antibiotics	806	5	74	6.76	5	403
13A	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	804	38	64	59.38	38	402
14A	map05010	Alzheimer disease	804	43	300	14.33	43	402
14A	map05132	Salmonella infection	804	14	217	6.45	14	402
13A	map00999	Biosynthesis of various plant secondary metabolites	802	3	74	4.05	3	401
14A	map00780	Biotin metabolism	800	13	24	54.17	13	400
3A	map05152	Tuberculosis	798	7	131	5.34	7	399
5A	map01502	Vancomycin resistance	798	8	22	36.36	8	399
47A	map01502	Vancomycin resistance	798	8	22	36.36	8	399
47A	map04211	Longevity regulating pathway	798	3	68	4.41	3	399
1A	map00552	Teichoic acid biosynthesis	792	6	41	14.63	6	396
14A	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	792	36	64	56.25	36	396
13A	map03020	RNA polymerase	788	15	66	22.73	15	394
46A	map00410	beta-Alanine metabolism	788	20	46	43.48	20	394
5A	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	784	26	64	40.62	26	392
1A	map05012	Parkinson disease	782	16	208	7.69	16	391
5A	map05012	Parkinson disease	782	16	208	7.69	16	391
42A	map00998	Biosynthesis of various antibiotics	782	4	74	5.41	4	391
1A	map04626	Plant-pathogen interaction	778	6	87	6.9	6	389
3A	map04141	Protein processing in endoplasmic reticulum	778	9	146	6.16	9	389
13A	map01502	Vancomycin resistance	776	9	22	40.91	9	388
14A	map05207	Chemical carcinogenesis - receptor activation	776	4	127	3.15	4	388
1A	map04213	Longevity regulating pathway - multiple species	774	5	58	8.62	5	387
5A	map01320	Sulfur cycle	774	28	53	52.83	28	387
5A	map05134	Legionellosis	774	5	69	7.25	5	387
14A	map05134	Legionellosis	770	8	69	11.59	8	385
1A	map04141	Protein processing in endoplasmic reticulum	768	7	146	4.79	7	384
5A	map04980	Cobalamin transport and metabolism	768	4	17	23.53	4	384
42A	map00052	Galactose metabolism	768	18	85	21.18	18	384
1A	map00360	Phenylalanine metabolism	766	30	75	40	30	383
5A	map00300	Lysine biosynthesis	766	19	48	39.58	19	383
1A	map05134	Legionellosis	764	6	69	8.7	6	382
42A	map03420	Nucleotide excision repair	762	14	61	22.95	14	381
49A	map04141	Protein processing in endoplasmic reticulum	762	8	146	5.48	8	381
3A	map00073	"Cutin, suberine and wax biosynthesis"	760	5	21	23.81	5	380
3A	map05415	Diabetic cardiomyopathy	760	15	160	9.38	15	380
46A	map00280	"Valine, leucine and isoleucine degradation"	760	36	71	50.7	36	380
3A	map00998	Biosynthesis of various antibiotics	756	5	74	6.76	5	378
13A	map00410	beta-Alanine metabolism	756	24	46	52.17	24	378
46A	map04213	Longevity regulating pathway - multiple species	756	9	58	15.52	9	378
1A	map00380	Tryptophan metabolism	754	26	82	31.71	26	377
14A	map05020	Prion disease	750	40	209	19.14	40	375
14A	map00999	Biosynthesis of various plant secondary metabolites	750	4	74	5.41	4	375
5A	map05415	Diabetic cardiomyopathy	748	18	160	11.25	18	374
3A	map04626	Plant-pathogen interaction	746	6	87	6.9	6	373
42A	map04626	Plant-pathogen interaction	746	7	87	8.05	7	373
46A	map05415	Diabetic cardiomyopathy	746	29	160	18.12	29	373
46A	map00040	Pentose and glucuronate interconversions	744	21	96	21.88	21	372
47A	map04626	Plant-pathogen interaction	744	7	87	8.05	7	372
46A	map05012	Parkinson disease	742	41	208	19.71	41	371
46A	map00998	Biosynthesis of various antibiotics	742	5	74	6.76	5	371
47A	map00300	Lysine biosynthesis	742	18	48	37.5	18	371
49A	map03320	PPAR signaling pathway	742	8	63	12.7	8	371
14A	map03020	RNA polymerase	740	20	66	30.3	20	370
14A	map01502	Vancomycin resistance	736	8	22	36.36	8	368
42A	map04213	Longevity regulating pathway - multiple species	736	6	58	10.34	6	368
13A	map05207	Chemical carcinogenesis - receptor activation	734	3	127	2.36	3	367
3A	map04213	Longevity regulating pathway - multiple species	732	6	58	10.34	6	366
13A	map01524	Platinum drug resistance	730	3	46	6.52	3	365
42A	map05010	Alzheimer disease	726	19	300	6.33	19	363
46A	map05134	Legionellosis	726	6	69	8.7	6	363
47A	map01320	Sulfur cycle	724	30	53	56.6	30	362
46A	map04151	PI3K-Akt signaling pathway	722	13	268	4.85	13	361
13A	map04930	Type II diabetes mellitus	720	1	37	2.7	1	360
46A	map00552	Teichoic acid biosynthesis	720	8	41	19.51	8	360
5A	map04213	Longevity regulating pathway - multiple species	718	5	58	8.62	5	359
