sample_id	pathway_id	pathway_name	annotated_pathway_ko_count	observed_kos	total_kos	completeness_pct	matched_observed_kos	matched_ko_count_sum
5A	map01523	Antifolate resistance	2528	5	26	19.23	5	1264
46A	map00564	Glycerophospholipid metabolism	2524	34	120	28.33	34	1262
49A	map04122	Sulfur relay system	2524	22	29	75.86	22	1262
49A	map00020	Citrate cycle (TCA cycle)	2520	44	70	62.86	44	1260
5A	map00760	Nicotinate and nicotinamide metabolism	2516	27	98	27.55	27	1258
3A	map02040	Flagellar assembly	2514	42	55	76.36	42	1257
1A	map00561	Glycerolipid metabolism	2508	22	99	22.22	22	1254
3A	map00564	Glycerophospholipid metabolism	2506	30	120	25	30	1253
46A	map00400	"Phenylalanine, tyrosine and tryptophan biosynthesis"	2498	35	74	47.3	35	1249
1A	map03018	RNA degradation	2492	21	79	26.58	21	1246
13A	map00520	Amino sugar and nucleotide sugar metabolism	2470	53	118	44.92	53	1235
49A	map02040	Flagellar assembly	2466	44	55	80	44	1233
3A	map00500	Starch and sucrose metabolism	2460	38	109	34.86	38	1230
46A	map00220	Arginine biosynthesis	2460	31	67	46.27	31	1230
14A	map00720	Other carbon fixation pathways	2448	62	126	49.21	62	1224
3A	map00920	Sulfur metabolism	2446	63	132	47.73	63	1223
42A	map04122	Sulfur relay system	2444	21	29	72.41	21	1222
42A	map00400	"Phenylalanine, tyrosine and tryptophan biosynthesis"	2442	29	74	39.19	29	1221
47A	map00400	"Phenylalanine, tyrosine and tryptophan biosynthesis"	2436	30	74	40.54	30	1218
47A	map00564	Glycerophospholipid metabolism	2432	31	120	25.83	31	1216
14A	map01210	2-Oxocarboxylic acid metabolism	2420	59	118	50	59	1210
3A	map00400	"Phenylalanine, tyrosine and tryptophan biosynthesis"	2400	31	74	41.89	31	1200
46A	map00920	Sulfur metabolism	2400	62	132	46.97	62	1200
47A	map04981	Folate transport and metabolism	2400	6	24	25	6	1200
13A	map00983	Drug metabolism - other enzymes	2396	16	33	48.48	16	1198
1A	map00020	Citrate cycle (TCA cycle)	2386	45	70	64.29	45	1193
13A	map00220	Arginine biosynthesis	2384	40	67	59.7	40	1192
46A	map00051	Fructose and mannose metabolism	2374	36	121	29.75	36	1187
5A	map00051	Fructose and mannose metabolism	2372	33	121	27.27	33	1186
5A	map01210	2-Oxocarboxylic acid metabolism	2370	48	118	40.68	48	1185
46A	map00760	Nicotinate and nicotinamide metabolism	2352	30	98	30.61	30	1176
42A	map00920	Sulfur metabolism	2340	56	132	42.42	56	1170
14A	map00983	Drug metabolism - other enzymes	2336	17	33	51.52	17	1168
13A	map00400	"Phenylalanine, tyrosine and tryptophan biosynthesis"	2334	41	74	55.41	41	1167
3A	map00051	Fructose and mannose metabolism	2328	41	121	33.88	41	1164
3A	map00760	Nicotinate and nicotinamide metabolism	2324	30	98	30.61	30	1162
42A	map00550	Peptidoglycan biosynthesis	2324	26	55	47.27	26	1162
13A	map04212	Longevity regulating pathway - worm	2316	8	56	14.29	8	1158
46A	map03018	RNA degradation	2316	34	79	43.04	34	1158
46A	map04122	Sulfur relay system	2314	21	29	72.41	21	1157
49A	map00480	Glutathione metabolism	2310	23	57	40.35	23	1155
5A	map04122	Sulfur relay system	2304	18	29	62.07	18	1152
3A	map00650	Butanoate metabolism	2298	61	115	53.04	61	1149
3A	map04122	Sulfur relay system	2292	22	29	75.86	22	1146
42A	map04922	Glucagon signaling pathway	2290	8	57	14.04	8	1145
46A	map00550	Peptidoglycan biosynthesis	2282	29	55	52.73	29	1141
47A	map00550	Peptidoglycan biosynthesis	2280	25	55	45.45	25	1140
42A	map00650	Butanoate metabolism	2278	53	115	46.09	53	1139
46A	map02030	Bacterial chemotaxis	2264	19	26	73.08	19	1132
3A	map03018	RNA degradation	2244	21	79	26.58	21	1122
42A	map00051	Fructose and mannose metabolism	2244	33	121	27.27	33	1122
5A	map00400	"Phenylalanine, tyrosine and tryptophan biosynthesis"	2238	28	74	37.84	28	1119
3A	map00550	Peptidoglycan biosynthesis	2236	29	55	52.73	29	1118
3A	map04212	Longevity regulating pathway - worm	2236	10	56	17.86	10	1118
46A	map04212	Longevity regulating pathway - worm	2234	11	56	19.64	11	1117
5A	map00564	Glycerophospholipid metabolism	2232	30	120	25	30	1116
46A	map01523	Antifolate resistance	2232	6	26	23.08	6	1116
13A	map00760	Nicotinate and nicotinamide metabolism	2226	40	98	40.82	40	1113
47A	map00920	Sulfur metabolism	2226	55	132	41.67	55	1113
42A	map03018	RNA degradation	2218	23	79	29.11	23	1109
3A	map00020	Citrate cycle (TCA cycle)	2204	47	70	67.14	47	1102
14A	map00520	Amino sugar and nucleotide sugar metabolism	2202	55	118	46.61	55	1101
42A	map00020	Citrate cycle (TCA cycle)	2188	43	70	61.43	43	1094
47A	map00740	Riboflavin metabolism	2188	20	55	36.36	20	1094
47A	map03018	RNA degradation	2188	24	79	30.38	24	1094
1A	map00480	Glutathione metabolism	2172	22	57	38.6	22	1086
14A	map04212	Longevity regulating pathway - worm	2170	9	56	16.07	9	1085
47A	map02030	Bacterial chemotaxis	2166	14	26	53.85	14	1083
5A	map00550	Peptidoglycan biosynthesis	2164	25	55	45.45	25	1082
42A	map04981	Folate transport and metabolism	2158	6	24	25	6	1079
13A	map00550	Peptidoglycan biosynthesis	2144	27	55	49.09	27	1072
13A	map00650	Butanoate metabolism	2138	66	115	57.39	66	1069
13A	map00910	Nitrogen metabolism	2130	41	70	58.57	41	1065
14A	map00400	"Phenylalanine, tyrosine and tryptophan biosynthesis"	2126	38	74	51.35	38	1063
3A	map01523	Antifolate resistance	2108	6	26	23.08	6	1054
14A	map00760	Nicotinate and nicotinamide metabolism	2106	40	98	40.82	40	1053
1A	map04981	Folate transport and metabolism	2098	7	24	29.17	7	1049
14A	map00220	Arginine biosynthesis	2092	38	67	56.72	38	1046
49A	map04981	Folate transport and metabolism	2090	7	24	29.17	7	1045
5A	map04981	Folate transport and metabolism	2084	6	24	25	6	1042
47A	map05417	Lipid and atherosclerosis	2082	5	160	3.12	5	1041
42A	map00480	Glutathione metabolism	2074	23	57	40.35	23	1037
49A	map00900	Terpenoid backbone biosynthesis	2066	25	64	39.06	25	1033
5A	map00920	Sulfur metabolism	2050	53	132	40.15	53	1025
47A	map00900	Terpenoid backbone biosynthesis	2048	22	64	34.38	22	1024
5A	map03018	RNA degradation	2044	23	79	29.11	23	1022
46A	map00650	Butanoate metabolism	2040	55	115	47.83	55	1020
1A	map00900	Terpenoid backbone biosynthesis	2028	23	64	35.94	23	1014
47A	map05230	Central carbon metabolism in cancer	2022	8	49	16.33	8	1011
13A	map05111	Biofilm formation - Vibrio cholerae	2020	42	106	39.62	42	1010
13A	map00020	Citrate cycle (TCA cycle)	2002	47	70	67.14	47	1001
47A	map05208	Chemical carcinogenesis - reactive oxygen species	1996	17	175	9.71	17	998
42A	map05208	Chemical carcinogenesis - reactive oxygen species	1984	22	175	12.57	22	992
49A	map00740	Riboflavin metabolism	1984	25	55	45.45	25	992
13A	map00051	Fructose and mannose metabolism	1978	55	121	45.45	55	989
13A	map03018	RNA degradation	1978	24	79	30.38	24	989
14A	map02030	Bacterial chemotaxis	1968	19	26	73.08	19	984
47A	map00460	Cyanoamino acid metabolism	1966	8	37	21.62	8	983
46A	map00561	Glycerolipid metabolism	1964	24	99	24.24	24	982
46A	map00900	Terpenoid backbone biosynthesis	1960	29	64	45.31	29	980
1A	map02025	Biofilm formation - Pseudomonas aeruginosa	1958	41	90	45.56	41	979
14A	map00550	Peptidoglycan biosynthesis	1954	26	55	47.27	26	977
14A	map00910	Nitrogen metabolism	1948	39	70	55.71	39	974
49A	map01212	Fatty acid metabolism	1942	37	84	44.05	37	971
1A	map00540	Lipopolysaccharide biosynthesis	1924	19	50	38	19	962
14A	map05111	Biofilm formation - Vibrio cholerae	1920	41	106	38.68	41	960
3A	map00561	Glycerolipid metabolism	1914	20	99	20.2	20	957
46A	map00020	Citrate cycle (TCA cycle)	1914	42	70	60	42	957
5A	map00650	Butanoate metabolism	1910	53	115	46.09	53	955
1A	map00740	Riboflavin metabolism	1900	22	55	40	22	950
1A	map01212	Fatty acid metabolism	1898	35	84	41.67	35	949
13A	map04122	Sulfur relay system	1892	23	29	79.31	23	946
13A	map00564	Glycerophospholipid metabolism	1890	39	120	32.5	39	945
49A	map00470	D-Amino acid metabolism	1890	31	55	56.36	31	945
47A	map00500	Starch and sucrose metabolism	1882	31	109	28.44	31	941
1A	map05230	Central carbon metabolism in cancer	1876	8	49	16.33	8	938
47A	map00650	Butanoate metabolism	1874	45	115	39.13	45	937
13A	map01523	Antifolate resistance	1872	5	26	19.23	5	936
5A	map00740	Riboflavin metabolism	1862	21	55	38.18	21	931
3A	map00900	Terpenoid backbone biosynthesis	1856	26	64	40.62	26	928
49A	map05230	Central carbon metabolism in cancer	1854	8	49	16.33	8	927
47A	map05203	Viral carcinogenesis	1852	6	174	3.45	6	926
46A	map00540	Lipopolysaccharide biosynthesis	1838	18	50	36	18	919
47A	map05165	Human papillomavirus infection	1838	4	231	1.73	4	919
